wbid	N2	ty1916	N2vsty1916.log2.deseq	N2vsty1916.log2	N2vsty1916.log2.pval
2L52.1	WBGene00007063	47.475524577701	28.9999988316757	0.229711351704452	0.711131099308969	0.856053695764895
2RSSE.1	WBGene00007064	422.258596517396	420.999974514327	0.936535802654406	0.00430664835901512	0.0569301157348732
2RSSE.2	WBGene00044165	23.5814071978556	32.9999879599082	1.42565813678606	-0.484815685772637	0.175483642366466
3R5.1	WBGene00007065	38.9621860630894	7.00000334168365	-1.53580465851351	2.47664710952693	0.166232415657306
4R79.1	WBGene00003525	92.3017290118499	85.9999473045349	0.838820553898258	0.102021897115163	0.715676234101177
4R79.2	WBGene00007067	18.619959020654	15.9999972604525	0.722064211330209	0.218778239683211	0.543659451003343
6R55.2	WBGene00007069	2.65353939405242	1.00000108614216	-0.467073948960718	1.40791639997414	NA
AC3.1	WBGene00005532	1.13453974088243	0.183941282199693	-1.68394748661789	2.62478993763131	NA
AC3.10	WBGene00004964	1.05439339812181	3.99996698352353	2.86441730045371	-1.92357484944029	NA
AC3.2	WBGene00007070	248.355660329475	117.000001136213	-0.145056633103203	1.08589908411662	0.852242712403243
AC3.3	WBGene00000024	34.0205516885373	22.9999969231767	0.376069582774889	0.564772868238531	0.828843175198754
AC3.4	WBGene00004098	8.01761962139581	2.00000247091959	-1.06232974016554	2.00317219117897	0.703289115138367
AC3.5	WBGene00007071	2848.26999879936	980.000055574077	-0.598389724399629	1.53923217541305	0.397785785726429
AC3.6	WBGene00000724	2.523691883951	1.99999831585887	0.605305452874008	0.335536998139412	NA
AC3.7	WBGene00007072	55.255951183024	15.0000044262668	-0.940324476733554	1.88116692774697	0.47442952694924
AC3.8	WBGene00007073	113.518806372964	70.9999942235117	0.263801938419647	0.677040512593773	0.875903712681184
AC7.1	WBGene00006428	6.17727117163324	13.9999839697649	2.12122605723518	-1.18038360622176	0.169038652149842
AC7.2	WBGene00004929	2045.24001305314	837.000010126693	-0.348128159926965	1.28897061094039	0.419886136328181
AC7.3	WBGene00014997	0.342618258094862	0.183939582151135	0.0434723846729534	0.897370066340467	NA
AC8.10	WBGene00043988	NA	NA	NA	NA	NA
AC8.11	WBGene00043989	NA	NA	NA	NA	NA
AC8.12	WBGene00043990	NA	NA	NA	NA	NA
AC8.3	WBGene00007075	NA	NA	NA	NA	NA
AC8.4	WBGene00007076	0.459302342564571	0.183940928631273	-0.379359161658977	1.3202016126724	NA
AC8.7	WBGene00007079	NA	NA	NA	NA	NA
AH10.1	WBGene00007082	1.08403012574858	0.183941648689806	-1.61824231772733	2.55908476874075	NA
AH10.2	WBGene00007083	0.362305519755568	0.183939838824661	-0.0371303531455157	0.977972804158936	NA
AH10.3	WBGene00007084	26.0277720335696	23.9999948654537	0.823824725264358	0.117017725749063	0.502029833184074
AH10.4	WBGene00007085	0.516026753121736	0.183940753949353	-0.547362253340719	1.48820470435414	NA
AH6.1	WBGene00001528	1.06150298792171	0.999995266700489	0.854727190138313	0.0861152608751078	NA
AH6.10	WBGene00005032	2.33707894221002	20.9999444668447	4.10844959215491	-3.16760714114149	0.00621613603116544
AH6.11	WBGene00005033	0.492042412821324	0.183941209559327	-0.478695494180534	1.41953794519396	NA
AH6.12	WBGene00005034	NA	NA	NA	NA	NA
